date,title,link
14시간 전,[오늘날씨]서울 아침 체감온도 -26도…올겨울 '최강 한파',http://www.newsis.com/view/?id=NISX20230123_0002167714&cID=10201&pID=10200
1시간 전,[내일 날씨] '체감 온도 -30도' 전국이 꽁꽁…제주에 많은 눈,http://news.mt.co.kr/mtview.php?no=2023012417131698950
11시간 전,[뉴스 광장 날씨] 귀경길 강추위…호남·제주 내일까지 많은 눈,https://news.kbs.co.kr/news/view.do?ncd=7585358&ref=A
31분 전,[전국 지역별 오늘의 날씨]내일까지 전국 강추위  전라권과 제주도 중심 많은...,http://www.jejuilbo.net/news/articleView.html?idxno=197964
2시간 전,[날씨] 북극 한파 맹위  내일 출근길 '절정'...서해안 대설경보,https://www.ytn.co.kr/_ln/0108_202301241624249443
7시간 전,따뜻한 날씨에 안정된 전력수요  설 연휴 이후 증가 예상,http://www.inews24.com/view/1560266
2시간 전,25일 올겨울 가장 추운 날씨 찾아온다,https://www.busan.com/view/busan/view.php?code=2023012415244726365
9시간 전,[내일날씨] 연휴 복귀 첫날 최강한파…서울 아침 최저 -23도,https://biz.sbs.co.kr/article_hub/20000099743?division=NAVER
9시간 전,[내일날씨] 연휴 끝 출근길 최강 한파…서울 아침 -18도,https://www.yna.co.kr/view/AKR20230124007100004?input=1195m
8시간 전,[날씨] 귀경길 악천후...냉동고 한파에 폭설  강풍  풍랑까지,https://www.ytn.co.kr/_ln/0108_202301240951239497
